Password,Mot de passe
Not a member?,Vous n'êtes pas membre ?
Sign up now,Inscris-toi maintenant
Or,Ou
Create a new account,Créer un nouveau compte
Address Information,Informations sur l'adresse
Password Strength,Force du mot de passe
No Password,Pas de mot de passe
Confirm Password,Confirmer le mot de passe
Create an Account,Créer un compte
Newsletter,Newsletter
Sign Up for Newsletter,S'inscrire à la newsletter
I want to receive exclusive offers by e-mail*,Je veux recevoir des offres exclusives par e-mail*
* I have read,* J'ai lu
Privacy Policy,Politique de confidentialité
Name,Nom
item,article
items,articles
Now Shopping by,Acheter maintenant par
Previous,Précédent
Remove,Retirer
Remove This Item,Retirer cet article
Shop by,Acheter par
Clear All,Effacer tout
Shop By,Acheter par
Shopping Options,Options d'achat
Newsletter Sign up,Inscription à la newsletter
Sign up to our newsletter and secure a 10 CHF voucher,Inscris-toi à notre newsletter et reçois un bon d'achat de 10 CHF.
Sign up to the CARESHOP newsletter and benefit from regular offers and information.,Inscris-toi à la newsletter CARESHOP et profite d'offres et d'informations régulières.
"For your registration, we gift you with a 10 CHF shopping voucher**","Pour ton inscription, nous t'offrons un bon d'achat de 10 USD**."
Get a coupon CHF 10 with new registration,Obtenez un coupon de CHF 10 avec une nouvelle inscription
Sign up for our Newsletter and get a 10usd voucher,Inscrivez-vous à notre Newsletter et recevez un bon de réduction de 10usd
Enter your email address,Entrez votre adresse e-mail
Subscribe,S'abonner
Rating,Évaluation de
Read ' . . ' Reviews,Lire ' . . . Critiques
Be the first to review this product,Soyez le premier à donner votre avis sur ce produit
Write a review,Écrire un commentaire
Sort By,Trier par
Highest to Lowest Rating,De la plus haute à la plus basse note
Lowest to Highest Rating,De la note la plus basse à la note la plus élevée
Most Recent,Le plus récent
Have you owned this product? Let us know what you think.,Avez-vous possédé ce produit ? Dites-nous ce que vous en pensez.
Read privacy policy,Lire la politique de confidentialité
Reviews,Critiques
Improved,Amélioration de
What to improve,Ce qu'il faut améliorer
All Orders,Toutes les commandes
Complete,Compléter
Shipping,Expédition
Returned,Retourné
Order,Commande
Placed on,Placé sur
MANAGE,GÉRER
Returned on,Retournée le
Pending,En attente
Delivered,Livrée
Estimated Delivery on,Livraison estimée le
Delivered on,Livré le
Status,Statut
You have placed no orders.,Vous n'avez passé aucune commande.
Order Information,Informations sur la commande
Shipping Address,Adresse d'expédition
Shipping Method,Méthode d'expédition
There is no shipping information available,Il n'y a pas d'information d'expédition disponible
Billing Address,Adresse de facturation
Payment Method,Mode de paiement
Items Ordered,Articles commandés
Gift Message,Message du cadeau
Close,Fermer
From,De
To,À
7 Days Careshop refund warranty,7 jours de garantie de retour Careshop
Reason for return:,Raison du retour :
The product is good,Le produit est bon
Return,Retour
Return is Not Available,Le retour n'est pas possible
It is not possible to return this item because the time period of our returns policy was exceeded. For more information please visit,"Il n'est pas possible de retourner cet article car le délai de notre politique de retour a été dépassé. Pour plus d'informations, veuillez consulter"
Return Policy,Politique de retour
of Careshop.,de Careshop.
Total :,Total :
Improve the product,Améliorer le produit
Your package was ' . . ' . Thank you for shopping at Careshop,Votre colis était ' . . ' . Merci de votre achat chez Careshop
Your package ' . . '. Thank you for shopping at Careshop and see you on your next purchase!,Votre colis était ' . Merci de vos achats chez Careshop et à bientôt pour votre prochain achat !
Your package has been delivered. Thank you for shopping at Careshop and see you on your next purchase!,Votre colis a été livré. Merci pour vos achats chez Careshop et à bientôt pour votre prochain achat !
Gift Message for This Order,Message cadeau pour cette commande
We are nearly complete.,Nous avons presque terminé.
COMING SOON,A VENIR BIENTÔT
Special offers,Offres spéciales
Language,Langue
Currency,Devise
Ship to,Envoyer à
Edit Account Details,Modifier les détails du compte
Order History,Historique des commandes
Wish List,Liste de souhaits
My Subscriptions,Mes abonnements
Log Out,Se déconnecter
Sign In / Sign Up,Se connecter / S'inscrire
Order Status,Statut de la commande
Customer Service,Service clientèle
Contact Us,Contactez nous
Returns & Repairs,Retours et réparations
Shipping Information,Informations sur l'expédition
FAQ (FREQUENTLY ASKED QUESTIONS),FAQ (QUESTIONS FRÉQUEMMENT POSÉES)
Availability,Disponibilité
In stock,En stock
Out of stock,En rupture de stock
Remove Item,Supprimer l'article
Delete,Supprimer
Watchlist,Liste de surveillance
This Wish List has no Items,Cette liste de souhaits n'a pas d'articles
Wishlist,Liste de souhaits
Voucher,Bon d'achat
You have no items in your wish list.,Vous n'avez aucun article dans votre liste de souhaits.
Your Customization,Votre personnalisation
Size,Taille
ALL,TOUS
Summary,Résumé
1%,1%
%1 x %2,%1 x %2
Configurator,Configurateur
Selection Qty,Sélection Qté
None,Aucun
Request New Password?,Demander un nouveau mot de passe ?
Create New Password?,Créer un nouveau mot de passe ?
Newsletter (Sign Up),Newsletter (S'inscrire)
Stores,Magasins
Search,Rechercher
Notify!,Notifier !
Product is Out Of Stock,Le produit est en rupture de stock
More,Plus de
Color,Couleur
Seat,Siège
Suggest on the following,Suggérer les points suivants
Function,Fonction
Other,Autre
Feature,Fonction
Your email,Votre email
Submit your idea on this product,Soumettez votre idée sur ce produit
Join us & Win,Rejoignez-nous et gagnez
Haven't found what you are looking for?,Vous n'avez pas trouvé ce que vous cherchez ?
Quantity,Quantité
Which size fits me?,Quelle taille me convient ?
Features,Caractéristiques
Specifications,Spécifications
Accessories,Accessoires
Videos,Vidéos
Manual,Manuel
Know How,Savoir-faire
Footprint,Empreinte digitale
Address Book,Carnet d'adresses
Account Information,Informations sur le compte
Full Width,Pleine largeur
Landing page,Page d'accueil
Product Details and Comment,Détails et commentaires sur les produits
"Explore which products we're developing and improving at the moment",Découvre les produits que nous développons et améliorons actuellement
Add to Wish List,Ajouter à la liste d'achats
