Highest to Lowest Rating,Dalla più alta alla più bassa valutazione
Lowest to Highest Rating,Dalla più bassa alla più alta valutazione
Most Recent,I più recenti
Have you owned this product? Let us know what you think.,Hai posseduto questo prodotto? Fateci sapere cosa ne pensate.
Read privacy policy,Leggi l'informativa sulla privacy
Reviews,Recensioni
Improved,Migliorato
What to improve,Cosa migliorare
All Orders,Tutti gli ordini
Complete,Completo
Shipping,Spedizione
Returned,Restituito
Order,Ordine
Placed on,Inserito in
MANAGE,GESTIRE
Returned on,Restituito su
Pending,In attesa
Delivered,Consegnato
Estimated Delivery on,Consegna stimata il
Delivered on,Consegnato il
Status,Stato
You have placed no orders.,Non è stato effettuato alcun ordine.
Order Information,Informazioni sull'ordine
Shipping Address,Indirizzo di spedizione
Shipping Method,Metodo di spedizione
There is no shipping information available,Non sono disponibili informazioni sulla spedizione
Billing Address,Indirizzo di fatturazione
Payment Method,Metodo di pagamento
Items Ordered,Articoli ordinati
Gift Message,Messaggio regalo
Close,Chiudere
From,Da
To,A
7 Days Careshop refund warranty,7 giorni di garanzia di rimborso Careshop
Reason for return:,Motivo della restituzione:
The product is good,Il prodotto è buono
Return,Restituzione
Return is Not Available,Il reso non è disponibile
It is not possible to return this item because the time period of our returns policy was exceeded. For more information please visit,"Non è possibile restituire questo articolo perché è stato superato il periodo di tempo previsto dalla nostra politica di restituzione. Per ulteriori informazioni, visitare il sito"
Return Policy,Politica di ritorno
of Careshop.,di Careshop.
Total :,Totale :
Improve the product,Migliorare il prodotto
Your package was ' . . ' . Thank you for shopping at Careshop,Il vostro pacco era ' . . ' . Grazie per aver acquistato su Careshop
Your package ' . . '. Thank you for shopping at Careshop and see you on your next purchase!,Il tuo pacco è stato ' ...'. Grazie per aver fatto acquisti su Careshop e arrivederci al prossimo acquisto!
Your package has been delivered. Thank you for shopping at Careshop and see you on your next purchase!,Il vostro pacco è stato consegnato. Grazie per aver fatto acquisti su Careshop e arrivederci al prossimo acquisto!
Gift Message for This Order,Messaggio regalo per questo ordine
We are nearly complete.,Siamo quasi al completo.
COMING SOON,PROSSIMAMENTE
Special offers,Offerte speciali
Language,Lingua
Currency,Valuta
Ship to,Spedire a
Edit Account Details,Modifica dei dettagli dell'account
Order History,Storico ordini
Wish List,Lista dei desideri
My Subscriptions,I miei abbonamenti
Log Out,Esci
Sign In / Sign Up,Accesso / Registrazione
Order Status,Stato dell'ordine
Customer Service,Servizio clienti
Contact Us,Contattateci
Returns & Repairs,Resi e riparazioni
Shipping Information,Informazioni sulla spedizione
FAQ (FREQUENTLY ASKED QUESTIONS),FAQ (DOMANDE FREQUENTI)
Availability,Disponibilità
In stock,In magazzino
Out of stock,Esaurito
Remove Item,Rimuovi articolo
Delete,Eliminare
Watchlist,Lista dei desideri
This Wish List has no Items,Questa Lista dei desideri non ha articoli
Wishlist,Lista dei desideri
Voucher,Buono
You have no items in your wish list.,Non ci sono articoli nella tua lista dei desideri.
Your Customization,La tua personalizzazione
Size,Dimensione
ALL,TUTTI
Summary,Riepilogo
1%,1%
%1 x %2,%1 x %2
Configurator,Configuratore
Selection Qty,Selezione Qtà
None,Non c'è nessuno
Request New Password?,Richiedere una nuova password?
Create New Password?,Creare una nuova password?
Newsletter (Sign Up),Newsletter (Iscriviti)
Stores,Negozi
Search,Ricerca
Notify!,Notifica!
Product is Out Of Stock,Il prodotto è esaurito
More,Altro
Color,Colore
Seat,Sede
Suggest on the following,Suggerite quanto segue
Function,Funzione
Other,Altro
Feature,Caratteristica
Your email,Il tuo indirizzo e-mail
Submit your idea on this product,Invia la tua idea su questo prodotto
Join us & Win,Unisciti a noi e vinci
Haven't found what you are looking for?,Non hai trovato quello che stai cercando?
Quantity,Quantità
Which size fits me?,Quale taglia è adatta a me?
Features,Caratteristiche
Specifications,Specifiche tecniche
Accessories,Accessori e accessori
Videos,Video
Manual,Manuale
Know How,Come funziona
Footprint,Impronta
Address Book,Rubrica
Account Information,Informazioni sull'account
Full Width,A tutta larghezza
Landing page,Pagina di atterraggio
Product Details and Comment,Dettagli e commenti sul prodotto
"Explore which products we're developing and improving at the moment",Scoprite quali sono i prodotti che stiamo sviluppando e migliorando al momento
Add to Wish List,Aggiungi alla lista desideri
